Designator;Val;Package;Mid X;Mid Y;Rotation;Layer
BT1;LIR2032;BatteryHolder_MYOUNG_BS-07-A1BJ001_CR2032;155.200000;-91.000000;180.000000;bottom
C1;4.7u;C_0805_2012Metric;146.960000;-92.815000;0.000000;top
C2;1u;C_0805_2012Metric;135.300000;-117.895000;90.000000;top
C3;1u;C_0805_2012Metric;152.155000;-114.405000;0.000000;top
C4;100n;C_0805_2012Metric;134.580000;-97.260000;180.000000;top
C5;100n;C_0805_2012Metric;147.280000;-97.895000;180.000000;top
C6;100n;C_0805_2012Metric;133.305000;-78.210000;90.000000;top
D1;LED;LED_0805_2012Metric;128.847500;-113.135000;0.000000;top
J1;MPU6050;PinSocket_1x08_P2.54mm_Vertical;129.180000;-78.200000;0.000000;top
J2;USB_C_Receptacle_USB2.0_16P;USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A;130.000000;-104.600000;270.000;top
R1;470;R_0805_2012Metric;132.990000;-113.135000;0.000000;top
R2;27k;R_0805_2012Metric;147.952500;-106.785000;0.000000;top
R3;5.1k;R_0805_2012Metric;137.100000;-106.900000;0.000000;top
R4;5.1k;R_0805_2012Metric;152.397500;-102.975000;0.000000;top
R5;1k;R_0805_2012Metric;136.522500;-82.655000;0.000000;top
R6;1k;R_0805_2012Metric;138.900000;-77.575000;0.000000;top
R7;10k;R_0805_2012Metric;152.397500;-97.895000;270.000;top
R8;10k;R_0805_2012Metric;139.062500;-114.405000;0.000000;top
SW1;SW_DPST_x2;SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile;156.600000;-111.800000;270.000;top
U1;ATmega328P-A;TQFP-32_7x7mm_P0.8mm;146.520000;-82.020000;0.000000;top
U2;W25Q128JVS;WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm;145.905000;-116.750000;0.000000;top
U3;CH340C;SOIC-16_3.9x9.9mm_P1.27mm;140.675000;-96.625000;0.000000;top
U4;MCP73831-2-OT;SOT-23-5;142.515000;-108.055000;0.000000;top
U5;MCP1700x-330xxTT;SOT-23;130.500000;-118.200000;0.000000;top